購買了意外險只要發生意外，保險公司都會賠償?,意外險所指的「意外」必須是客觀發生的事實，且意外傷害應是突發的、不可預見的外部力量所導致的
在發生意外後，如果得不到保險公司的理賠，是保險公司的原因，還是被保險人遇到的「意外」壓根兒就不在保險公司意外險所承保的範圍內？,意外險所指的「意外」必須是客觀發生的事實，且意外傷害應是突發的、不可預見的外部力量所導致的
王先生曾為自己投保意外傷害保險。在保險期間，王先生因病在醫院進行手術治療時，因醫療手術意外事故導致死亡,意外險所指的「意外」必須是客觀發生的事實，且意外傷害應是突發的、不可預見的外部力量所導致的
投保時沒有指定身故受益人,為避免不必要的糾紛，確保購買的保險讓家人受益，在投保時，投保人和被保險人應明確指定受益人
受益人填丈夫、孩子,為避免不必要的糾紛，確保購買的保險讓家人受益，在投保時，投保人和被保險人應明確指定受益人
投保時，可以不填受益人嗎？,為避免不必要的糾紛，確保購買的保險讓家人受益，在投保時，投保人和被保險人應明確指定受益人
為什麼一定要填寫受益人呢？,為避免不必要的糾紛，確保購買的保險讓家人受益，在投保時，投保人和被保險人應明確指定受益人
投保時，填寫的受益人到底是寫法定好還是指定好？,為避免不必要的糾紛，確保購買的保險讓家人受益，在投保時，投保人和被保險人應明確指定受益人
住院理賠日額少1天,保險公司的理賠依據是從「就醫診斷書」上醫生所撰寫的住院天數來給付
因為車禍住院，第3天才出院休養，在申請日額型住院醫療險的理賠後，發現保險公司只理賠2天,保險公司的理賠依據是從「就醫診斷書」上醫生所撰寫的住院天數來給付
到急診室吊點滴，卻不理賠急診津貼,一般保險公司對於「急診」的定義是指在急診室待超過6小時以上，才算符合申請急診津貼的條件
癌症併發症不予理賠,要看看自己的保單條款，是否將併發症或後遺症除外。
只要我得了癌症，所有跟癌症相關的治療，保險公司就應該賠?,要看看自己的保單條款，是否將併發症或後遺症除外。
先天疾病不理賠,向醫院調閱小孩出生時的健康檢查表等相關證據，證明出生時並未檢查出與先天疾病相關症狀
在孩子一出生後就幫他投保，孩子在3歲時因為疝氣而住院開刀,向醫院調閱小孩出生時的健康檢查表等相關證據，證明出生時並未檢查出與先天疾病相關症狀
小孩是在3歲才發現有疝氣，因此在出生投保時，並不知道有此情形,向醫院調閱小孩出生時的健康檢查表等相關證據，證明出生時並未檢查出與先天疾病相關症狀
內視鏡切除膽囊，卻無法理賠手術金,只要在診斷證明書上有寫到「手術」字眼，保險公司便比較沒有立場刁難你。
做了膽囊切除手術，由於現在醫學發達，因此只要做內視鏡清除處理，並不需要真的開刀,只要在診斷證明書上有寫到「手術」字眼，保險公司便比較沒有立場刁難你。
並未實際開刀手術治療,只要在診斷證明書上有寫到「手術」字眼，保險公司便比較沒有立場刁難你。
